Site,Country,Zone,Latitude,Longitude,Distance,Walk,Easytofind,Publicaccess,Specialaccess,Wavequality,Experience,Frequency,Type,Direction,Bottom,Power,Normallength,Gooddaylength,Good swell direction,Good wind direction,Swell size,Best tide position,Best tide movement,Week crowd,Week-end crowd,Webcam url,DANGERS,BestSurfing_JanFeb,BestSurfing_MarApr,BestSurfing_MayJun,BestSurfing_JulAug,BestSurfing_SepOct,BestSurfing_NovDec,TypicalSwell_JanFeb,TypicalSwell_MarApr,TypicalSwell_MayJun,TypicalSwell_JulAug,TypicalSwell_SepOct,TypicalSwell_NovDec,SurfEquipment_JanFeb,SurfEquipment_MarApr,SurfEquipment_MayJun,SurfEquipment_JulAug,SurfEquipment_SepOct,SurfEquipment_NovDec,WaterTemp_JanFeb,WaterTemp_MarApr,WaterTemp_MayJun,WaterTemp_JulAug,WaterTemp_SepOct,WaterTemp_NovDec,AirTemp_JanFeb,AirTemp_MarApr,AirTemp_MayJun,AirTemp_JulAug,AirTemp_SepOct,AirTemp_NovDec
miradouro,Angola,Baja Norte,-9.250383333,13.09193333,Take a car,Instant access (&amp;lt; 5min),Hard to find,Public access,4x4,Normal,All surfers,Don't know,Point-break,Left,Sandy,Ordinary,Short (&amp;lt; 50m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,4,3,0,2,2,3,3,0,1,4,4,2,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,12,17,17,24,23,12,17,14,22,20,19,19
mussulo,Angola,Baja Norte,-8.861666667,13.15613333,In the city,Instant access (&amp;lt; 5min),OK,Public access,By boat only,Normal,All surfers,Don't know,Point-break,Left,Sandy,Fun,Short (&amp;lt; 50m),Short (&amp;lt; 50m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,4,2,3,4,2,0,6,4,2,3,3,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,16,14,18,19,22,13,11,18,20,26,24,12
quicombo,Angola,Baja Norte,-11.31703333,13.81133333,Week-end trip,Short walk (5-15 mn),Easy to find,,4x4,Regional Classic,Experienced surfers,Don't know,Point-break,Left,Reef (coral;sharp rocks etc..) with sand,Hollow; Fast,Short (&amp;lt; 50m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,2,0,4,4,2,0,3,4,1,0,4,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,16,17,22,22,21,17,17,19,17,25,18,19
shipwreck,Angola,Baja Norte,-9.108883333,12.99956667,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,Normal,Experienced surfers,Don't know,Beach-break,Left,Sandy,Hollow; Fast,Short (&amp;lt; 50m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,4,-1,4,3,4,3,5,1,-1,2,1,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,16,18,18,23,20,18,18,14,15,21,17,17
sumbe,Angola,Baja Norte,-11.22696667,13.83385,Week-end trip,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,Experienced surfers,Don't know,Beach-break,Right and left,Sandy with rock,Hollow; Fast; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,3,1,3,4,1,4,3,1,3,1,3,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,14,17,23,21,19,18,18,19,21,21,19
Kribi,Cameroon,Baja Norte,2.933416667,9.904833333,Day trip,Instant access (&amp;lt; 5min),Easy to find,Public access,,Normal,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Fun,Normal (50 to 150m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,3,3,1,2,2,2,4,0,1,3,3,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,13,20,20,24,20,19,13,17,22,25,22,16
Seme_Beach__Limbe,Cameroon,Baja Norte,4.011883333,9.1396,Don't know,Don't know,Don't know,Don't know,Don't know,Sloppy,All surfers,Sometimes break,Beach-break,Right and left,Sandy,Ordinary,Short (&amp;lt; 50m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,4,-1,0,3,5,1,3,3,1,3,1,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,16,20,17,21,21,13,14,15,15,22,19,19
Caga_Spot,Cape_Verde,Baja Norte,,,Day trip,,,Public access,,Totally Epic,Pros or kamikaze only...,Sometimes break,Reef-rocky,,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful; Ledgey,Short (&amp;lt; 50m),Short (&amp;lt; 50m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,1,1,2,0,5,3,6,0,0,4,4,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,12,18,15,24,23,14,16,15,16,19,20,19
Coca_s_Beach_Praia,Cape_Verde,Baja Norte,14.91668333,-23.50613333,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Sometimes break,Point-break,Left,Flat rocks with sand,Fun,Normal (50 to 150m),Long (150 to 300 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,2,1,1,2,5,2,3,4,0,1,3,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,17,20,16,25,19,12,15,15,21,26,24,18
Coragi,Cape_Verde,Baja Norte,14.90251667,-23.52266667,In the city,Short walk (5-15 mn),Easy to find,Public access,Don't know,Normal,Experienced surfers,Very consistent (150 day/year),Reef-rocky,Left,Reef (coral; sharp rocks etc..),Powerful,,,"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,3,3,4,4,5,0,4,0,-1,4,4,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,17,18,15,22,17,16,16,17,22,25,21,13
ervatao,Cape_Verde,Baja Norte,,,Day trip,Instant access (&amp;lt; 5min),Hard to find,Public access,4x4,Normal,Experienced surfers,Don't know,Reef-rocky,Left,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful,Normal (50 to 150m),Long (150 to 300 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,3,-1,2,0,1,2,6,2,3,2,5,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,17,17,20,19,23,19,16,18,21,25,21,14
ilha_do_sal,Cape_Verde,Baja Norte,,,Take a car,Instant access (&amp;lt; 5min),OK,Public access,4x4,Normal,All surfers,Don't know,Point-break,Right,Sandy with rock,Fast; Powerful,Short (&amp;lt; 50m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,1,1,3,2,3,3,5,4,0,1,3,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,15,21,21,24,20,16,13,16,18,23,21,18
laginha,Cape_Verde,Baja Norte,,,In the city,Instant access (&amp;lt; 5min),,,Don't know,Normal,All surfers,Rarely break (5day/year),Reef-rocky,Right and left,Sandy with rock,Fast,Short (&amp;lt; 50m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,1,2,1,2,5,4,2,2,-1,4,4,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,16,21,20,18,12,18,17,19,21,17,19
Meio_de_Baia,Cape_Verde,Baja Norte,,,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Paddle &gt; 20mn or Boat,World Class,Experienced surfers,Sometimes break,Reef-rocky,Right and left,Reef (coral; sharp rocks etc..),Hollow; Powerful,Long (150 to 300 m),Long (150 to 300 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,2,1,2,2,2,0,2,2,-1,0,5,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,16,19,15,18,23,14,15,13,22,23,22,19
Palmeira_-_ilha_do_sal,Cape_Verde,Baja Norte,16.75211667,-22.9791,Take a car,Instant access (&amp;lt; 5min),OK,Private access,4x4,World Class,Pros or kamikaze only...,Regular,Reef-rocky,Left,Reef (coral; sharp rocks etc..),Powerful,Normal (50 to 150m),Long (150 to 300 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,1,2,3,0,4,4,2,0,0,4,4,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,19,19,18,19,18,18,15,15,21,20,16
ponta_preda,Cape_Verde,Baja Norte,16.6125,-22.93258333,Surf trip,Long walk (&gt;30 mn),Hard to find,,4x4,World Class,Pros or kamikaze only...,Regular,Point-break,Right,Sandy with rock,Ledgey,Long (150 to 300 m),Very Long (300 to 500 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,0,0,0,2,4,2,2,1,2,0,3,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,11,20,22,20,16,15,11,18,17,24,24,17
Praia_do_Chaves,Cape_Verde,Baja Norte,16.1419,-22.9071,Don't know,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Sometimes break,Sand-bar,Right and left,Sandy,Powerful,Normal (50 to 150m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,0,0,2,0,4,3,2,3,-1,1,5,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,16,17,15,23,18,16,16,18,17,20,22,13
Praia_Negra,Cape_Verde,Baja Norte,14.91595,-23.5054,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,All surfers,Regular,Point-break,Left,Flat rocks,Fun,Normal (50 to 150m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,4,1,2,1,5,2,3,2,2,3,1,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,11,15,18,19,20,15,12,18,21,20,22,16
rincon,Cape_Verde,Baja Norte,,,Take a car,Long walk (&gt;30 mn),Easy to find,Public access,4x4,Normal,Pros or kamikaze only...,Don't know,Reef-rocky,Right and left,Flat rocks,Hollow; Powerful,Normal (50 to 150m),Long (150 to 300 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,4,1,1,0,4,1,5,4,2,2,5,2,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,13,18,19,25,23,14,16,14,19,23,18,12
Sandy_Beach_-_Sao_Vincente,Cape_Verde,Baja Norte,16.86336667,-24.87905,Day trip,Instant access (&amp;lt; 5min),Hard to find,Public access,4x4,World Class,All surfers,Very consistent (150 day/year),Point-break,Right,Sandy with rock,Hollow; Fast; Fun,Normal (50 to 150m),,"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,3,2,1,1,3,2,6,4,0,2,2,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,14,19,20,19,17,13,18,16,20,24,16
santa_maria,Cape_Verde,Baja Norte,,,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Don't know,Reef-rocky,Left,Flat rocks with sand,Fun,Normal (50 to 150m),Long (150 to 300 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,4,1,4,4,4,1,3,2,0,2,5,2,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,12,14,16,20,21,17,13,18,17,19,21,19
Santa_Monica__Boa_Vista,Cape_Verde,Baja Norte,15.99366667,-22.89481667,Take a car,Long walk (&gt;30 mn),OK,Public access,4x4,Regional Classic,Experienced surfers,Regular,Beach-break,Right,Sandy with rock,Hollow; Fast,Short (&amp;lt; 50m),Short (&amp;lt; 50m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,4,2,0,3,4,0,5,3,2,0,1,2,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,13,20,20,21,18,19,15,12,21,26,17,15
cote_sauvage,Congo,Baja Norte,-4.8132,11.84326667,Sell the house; wife and kids,Long walk (&gt;30 mn),Hard to find,Private access,4x4,Normal,All surfers,Regular,Sand-bar,Left,Sandy with rock,Fast,Normal (50 to 150m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,1,0,3,1,4,4,2,4,3,2,4,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,17,17,21,19,21,16,15,14,20,20,24,17
Djeno_Rocher___Ibanga_for_the_locals_,Congo,Baja Norte,,,Take a car,,OK,Public access,4x4,Totally Epic,Pros or kamikaze only...,Sometimes break,Reef-rocky,Left,Reef (coral;sharp rocks etc..) with sand,Hollow; Fast; Powerful; Ledgey; Slab,Normal (50 to 150m),Long (150 to 300 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,3,1,1,3,1,2,6,1,3,2,4,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,11,19,19,24,21,16,15,18,17,26,23,17
le_piege,Congo,Baja Norte,-4.773333333,11.82523333,Take a car,Instant access (&amp;lt; 5min),Hard to find,Private access,Don't know,Normal,,Regular,Point-break,Left,Sandy,Fun,Short (&amp;lt; 50m),Short (&amp;lt; 50m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,0,3,4,2,3,4,5,3,0,3,4,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,19,20,21,19,17,15,12,19,24,21,15
mvassa,Congo,Baja Norte,,,Day trip,,OK,Public access,4x4,Regional Classic,All surfers,Regular,Reef-rocky,Right and left,,Fun,Long (150 to 300 m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,0,1,3,0,1,4,4,4,3,2,3,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,21,20,25,16,13,17,17,22,19,20,19
Agami,Egypt,Baja Norte,31.1279,29.7733,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Powerful,Normal (50 to 150m),Long (150 to 300 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,2,-1,2,2,2,4,4,1,0,1,5,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,17,17,19,20,18,12,15,15,20,22,23,12
Arabia_Beach,Egypt,Baja Norte,,,In the city,Instant access (&amp;lt; 5min),Easy to find,Private access,Don't know,Regional Classic,All surfers,Sometimes break,Reef-coral,Right and left,Reef (coral; sharp rocks etc..),,Short (&amp;lt; 50m),Short (&amp;lt; 50m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,1,-1,3,1,5,4,6,1,1,1,3,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,15,16,18,18,17,16,11,15,19,25,23,17
El_Corniche,Egypt,Baja Norte,31.26196667,29.98143333,In the city,Instant access (&amp;lt; 5min),Easy to find,Private access,Don't know,Sloppy,All surfers,Sometimes break,Beach-break,Right and left,Sandy with rock,,Short (&amp;lt; 50m),Short (&amp;lt; 50m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,1,3,3,3,4,2,6,0,0,3,3,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,17,21,17,22,17,12,11,19,17,22,17,19
Mandara,Egypt,Baja Norte,31.28023333,30.0087,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,All surfers,Regular,Beach-break,Right and left,Sandy,Fast; Powerful,Short (&amp;lt; 50m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,1,3,3,1,4,1,2,0,-1,4,2,2,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,13,14,15,20,19,19,13,19,22,21,18,16
Marsa_Alaam,Egypt,Baja Norte,25.10813333,34.8822,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Paddle &gt; 20mn or Boat,Sloppy,All surfers,Sometimes break,Reef-coral,Right and left,Reef (coral; sharp rocks etc..),,Short (&amp;lt; 50m),Short (&amp;lt; 50m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,1,0,0,2,5,3,5,0,0,4,4,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,20,20,20,22,18,15,12,19,21,22,12
Ramadas,Egypt,Baja Norte,31.24905,29.96805,Take a car,Short walk (5-15 mn),Easy to find,Public access,Don't know,Normal,All surfers,Regular,Beach-break,Right and left,Sandy with rock,Fun; Powerless,Short (&amp;lt; 50m),Short (&amp;lt; 50m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,0,1,2,3,1,3,2,1,0,1,4,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,19,22,20,19,15,11,16,21,20,24,12
