Spot,Continent,Country,Zone,Subzone,Subsubzone,Latitude,Longitude,Distance,Walk,Easy to find?,Public access?,Special access,Wave quality,Experience,Frequency,Type,Direction,Bottom,Power,Normal length,Good day length,Good swell direction,Good wind direction,Swell size,Best tide position,Best tide movement,Week crowd,Week-end crowd,Zone url,BestSurfing_JanFeb, BestSurfing_MarApr, BestSurfing_MayJun, BestSurfing_JulAug, BestSurfing_SepOct, BestSurfing_NovDec, TypicalSwell_JanFeb, TypicalSwell_MarApr, TypicalSwell_MayJun, TypicalSwell_JulAug, TypicalSwell_SepOct, TypicalSwell_NovDec, SurfEquipment_JanFeb, SurfEquipment_MarApr, SurfEquipment_MayJun, SurfEquipment_JulAug, SurfEquipment_SepOct, SurfEquipment_NovDec, WaterTemp_JanFeb, WaterTemp_MarApr, WaterTemp_MayJun, WaterTemp_JulAug, WaterTemp_SepOct, WaterTemp_NovDec, AirTemp_JanFeb, AirTemp_MarApr, AirTemp_MayJun, AirTemp_JulAug, AirTemp_SepOct, AirTemp_NovDec
cote_sauvage,Africa,Congo,,,,-4.8132,11.84326667,Sell the house; wife and kids,Long walk (&gt;30 mn),Hard to find,Private access,4x4,Normal,All surfers,Regular,Sand-bar,Left,Sandy with rock,Fast,Normal (50 to 150m),Normal (50 to 150m),,,Starts working at  and holds up to ,,,,,http://www.wannasurf.com/spot/Africa/Congo/index.html,1,1,1,1,1,1,2,2,1,2,1,2,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,81,82,75,72,75,77,81,81,77,72,75,77
le_piege,Africa,Congo,,,,-4.773333333,11.82523333,Take a car,Instant access (&amp;lt; 5min),Hard to find,Private access,Don't know,Normal,,Regular,Point-break,Left,Sandy,Fun,Short (&amp;lt; 50m),Short (&amp;lt; 50m),West; SouthWest,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to ,Low and mid tide,,Empty,Few surfers,http://www.wannasurf.com/spot/Africa/Congo/index.html,1,1,1,1,1,1,2,2,1,2,1,2,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,81,82,75,72,75,77,81,81,77,72,75,77
gomb,Africa,Gabon,,,,0.323916667,9.31125,Day trip,Good walk (15-30 mn),OK,Public access,By boat only,Regional Classic,Experienced surfers,Regular,Point-break,Left,Sandy with rock,Powerless,Very Long (300 to 500 m),Exceptional (&gt;500m),SouthWest,Don't know,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Low and mid tide,Rising tide,Few surfers,Few surfers,http://www.wannasurf.com/spot/Africa/Gabon/index.html,1,1,1,1,1,1,2,2,1,2,1,2,Calzones de surf,Calzones de surf,Calzones de surf,Calzones de surf,Calzones de surf,Calzones de surf,81,82,75,72,75,77,81,81,77,72,75,77
guegue,Africa,Gabon,,,,0.435966667,9.416583333,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,Normal,All surfers,Sometimes break,Beach-break,Right and left,Sandy,Powerful; Powerless,Short (&amp;lt; 50m),Normal (50 to 150m),NorthWest; West; SouthWest,SouthEast; East,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,,,Empty,Empty,http://www.wannasurf.com/spot/Africa/Gabon/index.html,1,1,1,1,1,1,2,2,1,2,1,2,Calzones de surf,Calzones de surf,Calzones de surf,Calzones de surf,Calzones de surf,Calzones de surf,81,82,75,72,75,77,81,81,77,72,75,77
assinie,Africa,Ivory_Coast,,,,5.12565,-3.290833333,Day trip,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Sometimes break,Sand-bar,Right and left,Sandy,Fun,Short (&amp;lt; 50m),Short (&amp;lt; 50m),,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,,,Empty,Crowded,http://www.wannasurf.com/spot/Africa/Ivory_Coast/index.html,1,1,2,1,1,1,1,1,2,2,1,1,Calzones de surf,Calzones de surf,Calzones de surf,Calzones de surf,Calzones,Calzones de surf,81,82,79,77,75,79,86,86,81,79,77,81
grand_drewin,Africa,Ivory_Coast,,,,4.915583333,-6.147716667,Week-end trip,Instant access (&amp;lt; 5min),OK,Public access,4x4,Regional Classic,All surfers,Don't know,Point-break,Right,Sandy with rock,Powerful; Ordinary; Fun,Normal (50 to 150m),Normal (50 to 150m),,,Starts working at 1.5m-2m /5ft-6ft and holds up to 2.5m+ / 8ft+,,,Empty,Empty,http://www.wannasurf.com/spot/Africa/Ivory_Coast/index.html,1,1,2,1,1,1,1,1,2,2,1,1,Calzones de surf,Calzones de surf,Calzones de surf,Calzones de surf,Calzones,Calzones de surf,81,82,79,77,75,79,86,86,81,79,77,81
ambila_lamentsa,Africa,Madagascar,,,,-18.85928333,49.14968333,Sell the house; wife and kids,Long walk (&gt;30 mn),Hard to find,Public access,4x4,Regional Classic,All surfers,Regular,Sand-bar,Right and left,Sandy,Hollow; Fast; Powerful,Normal (50 to 150m),Long (150 to 300 m),East,West,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 5m / 16 ft and over,All tides,Rising tide,Empty,Empty,http://www.wannasurf.com/spot/Africa/Madagascar/index.html,1,1,2,2,1,1,2,2,3,4,4,1,Boardshorts,Shorty,Shorty,Shorty,Shorty,Boardshorts,79,77,75,72,73,77,77,77,75,75,77,77
corre,Africa,Madagascar,,,,-18.86123333,49.1488,Surf trip,Instant access (&amp;lt; 5min),Hard to find,Public access,Don't know,Normal,All surfers,Regular,Sand-bar,Left,Sandy,Hollow; Powerful; Fun,Normal (50 to 150m),Long (150 to 300 m),East,West,Starts working at  and holds up to ,,,Empty,Empty,http://www.wannasurf.com/spot/Africa/Madagascar/index.html,1,1,2,2,1,1,2,2,3,4,4,1,Boardshorts,Shorty,Shorty,Shorty,Shorty,Boardshorts,79,77,75,72,73,77,77,77,75,75,77,77
flameballs,Africa,Madagascar,,,,-23.62683333,43.58546667,Surf trip,Don't know,Hard to find,Don't know,By boat only,World Class,Experienced surfers,Regular,Point-break,Left,Reef (coral; sharp rocks etc..),,Very Long (300 to 500 m),,,,Starts working at 1.5m-2m /5ft-6ft and holds up to 3m+ / 10ft+,High tide only,Rising and falling tides,Empty,Empty,http://www.wannasurf.com/spot/Africa/Madagascar/index.html,1,1,2,2,1,1,2,2,3,4,4,1,Boardshorts,Shorty,Shorty,Shorty,Shorty,Boardshorts,79,77,75,72,73,77,77,77,75,75,77,77
ifaty,Africa,Madagascar,,,,-23.11538333,43.52585,Day trip,,OK,Public access,By boat only,Regional Classic,Experienced surfers,Very consistent (150 day/year),Reef-coral,Right and left,Reef (coral; sharp rocks etc..),Hollow; Fast,Long (150 to 300 m),Long (150 to 300 m),West; SouthWest; South,SouthWest; NorthEast; Don't know,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to Don't know,Don't know,Don't know,Empty,Empty,http://www.wannasurf.com/spot/Africa/Madagascar/index.html,1,1,2,2,1,1,2,2,3,4,4,1,Boardshorts,Shorty,Shorty,Shorty,Shorty,Boardshorts,79,77,75,72,73,77,77,77,75,75,77,77
lavanono,Africa,Madagascar,,,,-25.42476667,44.93851667,Take a car,Instant access (&amp;lt; 5min),Hard to find,Public access,4x4,Regional Classic,All surfers,Regular,Reef-coral,Left,Reef (coral; sharp rocks etc..),Fun,Short (&amp;lt; 50m),Long (150 to 300 m),SouthWest; South; SouthEast,North; NorthWest; West; East; NorthEast,Starts working at Less than 1m / 3ft and holds up to 5m / 16 ft and over,Low and mid tide,,Empty,Empty,http://www.wannasurf.com/spot/Africa/Madagascar/index.html,1,1,2,2,1,1,2,2,3,4,4,1,Boardshorts,Shorty,Shorty,Shorty,Shorty,Boardshorts,79,77,75,72,73,77,77,77,75,75,77,77
libanono,Africa,Madagascar,,,,-25.03876667,46.97865,In the city,Instant access (&amp;lt; 5min),,,Don't know,Normal,All surfers,Don't know,Beach-break,Right and left,Sandy,Fast,Normal (50 to 150m),,South; SouthEast; East,North; NorthEast,Starts working at  and holds up to ,,,,Empty,http://www.wannasurf.com/spot/Africa/Madagascar/index.html,1,1,2,2,1,1,2,2,3,4,4,1,Boardshorts,Shorty,Shorty,Shorty,Shorty,Boardshorts,79,77,75,72,73,77,77,77,75,75,77,77
Mahambo,Africa,Madagascar,,,,-17.47888333,49.47301667,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Paddle &gt; 20mn or Boat,Regional Classic,Experienced surfers,Very consistent (150 day/year),Reef-rocky,Right,Reef (coral; sharp rocks etc..),Hollow; Fast; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),,NorthEast,Starts working at Less than 1m / 3ft and holds up to ,All tides,Don't know,Empty,Empty,http://www.wannasurf.com/spot/Africa/Madagascar/index.html,1,1,2,2,1,1,2,2,3,4,4,1,Boardshorts,Shorty,Shorty,Shorty,Shorty,Boardshorts,79,77,75,72,73,77,77,77,75,75,77,77
monseigneur,Africa,Madagascar,,,,-25.02495,47.00568333,In the city,Short walk (5-15 mn),Easy to find,Public access,Don't know,Regional Classic,Experienced surfers,Regular,Reef-rocky,Right,Flat rocks,Fun,Normal (50 to 150m),Normal (50 to 150m),SouthWest; South; SouthEast; East,South; SouthEast,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,,,Empty,Empty,http://www.wannasurf.com/spot/Africa/Madagascar/index.html,1,1,2,2,1,1,2,2,3,4,4,1,Boardshorts,Shorty,Shorty,Shorty,Shorty,Boardshorts,79,77,75,72,73,77,77,77,75,75,77,77
vinanibe_lake,Africa,Madagascar,,,,-25.05325,46.99951667,Take a car,Short walk (5-15 mn),OK,Public access,Don't know,Regional Classic,All surfers,Regular,Sand-bar,Right and left,Sandy,Fast; Powerful; Fun,Normal (50 to 150m),Long (150 to 300 m),South; SouthEast; East,North; NorthWest,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,All tides,Rising and falling tides,Empty,Empty,http://www.wannasurf.com/spot/Africa/Madagascar/index.html,1,1,2,2,1,1,2,2,3,4,4,1,Boardshorts,Shorty,Shorty,Shorty,Shorty,Boardshorts,79,77,75,72,73,77,77,77,75,75,77,77
bernache,Africa,Mauritius,,,,-20.00608333,57.69516667,Don't know,Instant access (&amp;lt; 5min),Easy to find,Public access,By boat only,World Class,All surfers,Regular,Reef-coral,Right,Reef (coral;sharp rocks etc..) with sand,Powerful; Fun,Normal (50 to 150m),Long (150 to 300 m),North; SouthEast; East; NorthEast,SouthWest; South; SouthEast,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,All tides,Rising and falling tides,Empty,Empty,http://www.wannasurf.com/spot/Africa/Mauritius/index.html,1,2,2,2,2,1,2,2,3,4,3,2,Boardshorts,Boardshorts,Shorty,Shorty,Shorty,Shorty,81,79,73,72,73,77,79,77,73,73,77,79
black_rocks,Africa,Mauritius,,,,-20.31838333,57.36751667,Take a car,Short walk (5-15 mn),OK,Public access,Don't know,World Class,Experienced surfers,Regular,Reef-rocky,Right,Reef (coral; sharp rocks etc..),Hollow; Powerful; Ledgey,Normal (50 to 150m),Long (150 to 300 m),,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 4m+ / 12ft,Mid and high tide,,Empty,Few surfers,http://www.wannasurf.com/spot/Africa/Mauritius/index.html,1,2,2,2,2,1,2,2,3,4,3,2,Boardshorts,Boardshorts,Shorty,Shorty,Shorty,Shorty,81,79,73,72,73,77,79,77,73,73,77,79
darne,Africa,Mauritius,,,,-20.45133333,57.70926667,Don't know,Short walk (5-15 mn),OK,Public access,Paddle &gt; 20mn or Boat,Regional Classic,All surfers,Regular,Reef-coral,Left,Reef (coral; sharp rocks etc..),Powerless; Slab,Short (&amp;lt; 50m),Short (&amp;lt; 50m),SouthEast; East,North; NorthWest; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,Mid and high tide,Rising and falling tides,Empty,Few surfers,http://www.wannasurf.com/spot/Africa/Mauritius/index.html,1,2,2,2,2,1,2,2,3,4,3,2,Boardshorts,Boardshorts,Shorty,Shorty,Shorty,Shorty,81,79,73,72,73,77,79,77,73,73,77,79
fausse_passe,Africa,Mauritius,,,,-20.4466,57.72315,Day trip,Short walk (5-15 mn),OK,Public access,Paddle &gt; 20mn or Boat,Regional Classic,All surfers,Regular,Reef-coral,Right and left,Reef (coral;sharp rocks etc..) with sand,Powerful; Fun; Slab,Normal (50 to 150m),Normal (50 to 150m),West,SouthWest,Starts working at 2.5m-3m / 8ft-10ft and holds up to 4m+ / 12ft,High tide only,Rising tide,Empty,Few surfers,http://www.wannasurf.com/spot/Africa/Mauritius/index.html,1,2,2,2,2,1,2,2,3,4,3,2,Boardshorts,Boardshorts,Shorty,Shorty,Shorty,Shorty,81,79,73,72,73,77,79,77,73,73,77,79
grand_sancho,Africa,Mauritius,,,,-20.50711667,57.44935,Take a car,Short walk (5-15 mn),Easy to find,Public access,4x4,Regional Classic,Experienced surfers,Regular,Reef-coral,Right and left,Reef (coral; sharp rocks etc..),Hollow; Powerful; Fun; Powerless,Short (&amp;lt; 50m),Normal (50 to 150m),SouthWest; South; SouthEast,North; NorthWest; NorthEast,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,All tides,Rising and falling tides,Empty,Few surfers,http://www.wannasurf.com/spot/Africa/Mauritius/index.html,1,2,2,2,2,1,2,2,3,4,3,2,Boardshorts,Boardshorts,Shorty,Shorty,Shorty,Shorty,81,79,73,72,73,77,79,77,73,73,77,79
La_Baie,Africa,Mauritius,,,,-20.32566667,57.37751667,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,,Normal,All surfers,Regular,Beach-break,Right and left,Sandy with rock,Ordinary; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),NorthWest; West; SouthWest,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,All tides,Rising and falling tides,Few surfers,Crowded,http://www.wannasurf.com/spot/Africa/Mauritius/index.html,1,2,2,2,2,1,2,2,3,4,3,2,Boardshorts,Boardshorts,Shorty,Shorty,Shorty,Shorty,81,79,73,72,73,77,79,77,73,73,77,79
le_morne,Africa,Mauritius,,,,-20.44406667,57.30795,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Paddle &gt; 20mn or Boat,Regional Classic,Experienced surfers,Regular,Reef-coral,Right and left,Reef (coral; sharp rocks etc..),Hollow,Normal (50 to 150m),,SouthWest,NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,,,Few surfers,Few surfers,http://www.wannasurf.com/spot/Africa/Mauritius/index.html,1,2,2,2,2,1,2,2,3,4,3,2,Boardshorts,Boardshorts,Shorty,Shorty,Shorty,Shorty,81,79,73,72,73,77,79,77,73,73,77,79
Le_Phare,Africa,Mauritius,,,,-20.41021667,57.76051667,Day trip,Short walk (5-15 mn),OK,Public access,By boat only,Regional Classic,Experienced surfers,Regular,Reef-coral,Right,Reef (coral; sharp rocks etc..),Fast; Powerful,Normal (50 to 150m),Long (150 to 300 m),SouthEast; East,South; SouthEast,Starts working at 1.5m-2m /5ft-6ft and holds up to 4m+ / 12ft,All tides,Rising and falling tides,Empty,Empty,http://www.wannasurf.com/spot/Africa/Mauritius/index.html,1,2,2,2,2,1,2,2,3,4,3,2,Boardshorts,Boardshorts,Shorty,Shorty,Shorty,Shorty,81,79,73,72,73,77,79,77,73,73,77,79
Maconde,Africa,Mauritius,,,,-20.49628333,57.36856667,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Paddle &gt; 20mn or Boat,Normal,All surfers,Regular,Reef-coral,Left,Reef (coral; sharp rocks etc..),Powerless; Slab,Short (&amp;lt; 50m),Normal (50 to 150m),South; SouthEast,North; NorthWest; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising and falling tides,Empty,Few surfers,http://www.wannasurf.com/spot/Africa/Mauritius/index.html,1,2,2,2,2,1,2,2,3,4,3,2,Boardshorts,Boardshorts,Shorty,Shorty,Shorty,Shorty,81,79,73,72,73,77,79,77,73,73,77,79
one_eye,Africa,Mauritius,,,,-20.45246667,57.31021667,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,World Class,Experienced surfers,Regular,Reef-coral,Left,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful,Short (&amp;lt; 50m),Normal (50 to 150m),West; SouthWest; South,,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,Mid and high tide,,Few surfers,Crowded,http://www.wannasurf.com/spot/Africa/Mauritius/index.html,1,2,2,2,2,1,2,2,3,4,3,2,Boardshorts,Boardshorts,Shorty,Shorty,Shorty,Shorty,81,79,73,72,73,77,79,77,73,73,77,79
tamarin_bay,Africa,Mauritius,,,,-20.3277,57.3746,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,World Class,Experienced surfers,Regular,Reef-coral,Left,Sandy,Hollow; Fun; Powerless,Normal (50 to 150m),Normal (50 to 150m),SouthWest; South,South,Starts working at 1.5m-2m /5ft-6ft and holds up to 2.5m+ / 8ft+,High tide only,Rising tide,Few surfers,Crowded,http://www.wannasurf.com/spot/Africa/Mauritius/index.html,1,2,2,2,2,1,2,2,3,4,3,2,Boardshorts,Boardshorts,Shorty,Shorty,Shorty,Shorty,81,79,73,72,73,77,79,77,73,73,77,79
barra,Africa,Mozambique,,,,-23.78943333,35.51708333,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,World Class,All surfers,Sometimes break,Sand-bar,Right and left,Sandy,Ordinary,Very Long (300 to 500 m),Exceptional (&gt;500m),,,Starts working at  and holds up to ,Mid and high tide,,Empty,Empty,http://www.wannasurf.com/spot/Africa/Mozambique/index.html,1,1,2,2,2,1,1,1,2,2,1,1,Boardshorts,Boardshorts,Shorty,Shorty,Boardshorts,Boardshorts,77,77,73,72,72,75,81,77,73,73,75,79
guinjata_bay,Africa,Mozambique,,,,-24.07225,35.4994,Week-end trip,Short walk (5-15 mn),OK,Private access,4x4,Regional Classic,All surfers,Regular,Reef-coral,Right,Reef (coral;sharp rocks etc..) with sand,Hollow; Fast; Powerless,Short (&amp;lt; 50m),Short (&amp;lt; 50m),,NorthWest; SouthEast,Starts working at 1.5m-2m /5ft-6ft and holds up to 2.5m+ / 8ft+,Mid tide,Falling tide,Empty,Empty,http://www.wannasurf.com/spot/Africa/Mozambique/index.html,1,1,2,2,2,1,1,1,2,2,1,1,Boardshorts,Boardshorts,Shorty,Shorty,Boardshorts,Boardshorts,77,77,73,72,72,75,81,77,73,73,75,79
jangamo_beach,Africa,Mozambique,,,,-24.0728,35.49851667,Surf trip,Short walk (5-15 mn),OK,Private access,4x4,World Class,All surfers,Regular,Point-break,Right,Reef (coral;sharp rocks etc..) with sand,Hollow; Powerful; Ordinary,Short (&amp;lt; 50m),Long (150 to 300 m),Don't know,NorthWest; SouthWest,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,All tides,Rising tide,Empty,Empty,http://www.wannasurf.com/spot/Africa/Mozambique/index.html,1,1,2,2,2,1,1,1,2,2,1,1,Boardshorts,Boardshorts,Shorty,Shorty,Boardshorts,Boardshorts,77,77,73,72,72,75,81,77,73,73,75,79
ponta_do_ouro,Africa,Mozambique,,,,-26.84375,32.89491667,Surf trip,Instant access (&amp;lt; 5min),Hard to find,Private access,4x4,World Class,All surfers,Regular,Point-break,Right,Sandy with rock,Fun,Long (150 to 300 m),Very Long (300 to 500 m),,NorthWest,Starts working at  and holds up to 3m+ / 10ft+,Low and mid tide,,Empty,Few surfers,http://www.wannasurf.com/spot/Africa/Mozambique/index.html,1,1,2,2,2,1,1,1,2,2,1,1,Boardshorts,Boardshorts,Shorty,Shorty,Boardshorts,Boardshorts,77,77,73,72,72,75,81,77,73,73,75,79
