Zone url,Spot,Continent,Country,Zone,Subzone,Subsubzone,Latitude,Longitude,Distance,Walk,Easy to find?,Public access?,Special access,Wave quality,Experience,Frequency,Type,Direction,Bottom,Power,Normal length,Good day length,Good swell direction,Good wind direction,Swell size,Best tide position,Best tide movement,Week crowd,Week-end crowd,BestSurfing_JanFeb,BestSurfing_MarApr,BestSurfing_MayJun,BestSurfing_JulAug,BestSurfing_SepOct,BestSurfing_NovDec,TypicalSwell_JanFeb,TypicalSwell_MarApr,TypicalSwell_MayJun,TypicalSwell_JulAug,TypicalSwell_SepOct,TypicalSwell_NovDec,SurfEquipment_JanFeb,SurfEquipment_MarApr,SurfEquipment_MayJun,SurfEquipment_JulAug,SurfEquipment_SepOct,SurfEquipment_NovDec,WaterTemp_JanFeb,WaterTemp_MarApr,WaterTemp_MayJun,WaterTemp_JulAug,WaterTemp_SepOct,WaterTemp_NovDec,AirTemp_JanFeb,AirTemp_MarApr,AirTemp_MayJun,AirTemp_JulAug,AirTemp_SepOct,AirTemp_NovDec,climate_janfeb,climate_marapr,climate_mayjun,climate_julaug,climate_septoct,climate_novdec,Distance_num,Wave quality_num,Experience_num,Frequency_num,Normal length_num,Good day length_num
http://www.wannasurf.com/spot/Africa/Gabon/index.html,guegue,Africa,Gabon,,,,0.435966667,9.416583333,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,Normal,All surfers,Sometimes break,Beach-break,Right and left,Sandy,Powerful; Powerless,Short (&amp;lt; 50m),Normal (50 to 150m),NorthWest; West; SouthWest,SouthEast; East,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,,,Empty,Empty,1,1,1,1,1,1,2,2,1,2,1,2,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,81,82,75,72,75,77,81,81,77,72,75,77,,,,,,,6.0,3.0,2.0,2.0,1.0,2.0
http://www.wannasurf.com/spot/Africa/Gambia/index.html,Kololi_Kotu___Kombo,Africa,Gambia,,,,13.41633333,-16.74728333,Take a car,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Sloppy,Experienced surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Fast; Powerful,Short (&amp;lt; 50m),Normal (50 to 150m),,,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Don't know,Rising tide,Few surfers,Empty,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,3.0,4.0,1.0,2.0
http://www.wannasurf.com/spot/Africa/Gambia/index.html,secret_bay_,Africa,Gambia,,,,13.14483333,-16.77666667,Surf trip,Short walk (5-15 mn),OK,Public access,,Normal,All surfers,Very consistent (150 day/year),Reef-rocky,Right and left,Boulders,Fun,Short (&amp;lt; 50m),Normal (50 to 150m),NorthWest; West; SouthWest; South,Don't know,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Mid and high tide,Rising and falling tides,Empty,Empty,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.0,4.0,1.0,2.0
http://www.wannasurf.com/spot/Africa/Gambia/index.html,Senegambia_Beach,Africa,Gambia,,,,13.4451,-16.72555,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,Experienced surfers,Regular,Beach-break,Left,Sandy,Hollow; Fast,Short (&amp;lt; 50m),Normal (50 to 150m),North; South; SouthEast; NorthEast,East,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to Don't know,All tides,Rising tide,Empty,Empty,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,3.0,3.0,1.0,2.0
http://www.wannasurf.com/spot/Africa/Ghana/index.html,busua_beach_island,Africa,Ghana,,,,4.8067,-1.927933333,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Paddle &gt; 20mn or Boat,Regional Classic,All surfers,Regular,Beach-break,Right and left,Sandy,,Short (&amp;lt; 50m),Short (&amp;lt; 50m),,,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Empty,1,1,1,1,1,1,1,1,1,1,1,1,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,,,,,,,,,,,,,,,,,,,5.0,4.0,2.0,3.0,1.0,1.0
http://www.wannasurf.com/spot/Africa/Ghana/index.html,Katakor,Africa,Ghana,,,,4.75085,-2.045683333,Take a car,Don't know,Hard to find,Public access,Don't know,Regional Classic,Experienced surfers,Regular,Reef-rocky,Right and left,Reef (coral; sharp rocks etc..),Ordinary,Normal (50 to 150m),Long (150 to 300 m),West; SouthWest; South,North; NorthWest; East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to Don't know,Mid and high tide,Rising tide,Empty,Empty,1,1,1,1,1,1,1,1,1,1,1,1,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,,,,,,,,,,,,,,,,,,,5.0,4.0,3.0,3.0,2.0,3.0
http://www.wannasurf.com/spot/Africa/Ghana/index.html,labadi_beach,Africa,Ghana,,,,5.53125,-0.214583333,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Regular,Beach-break,Right and left,Sandy,Ordinary; Ledgey,Short (&amp;lt; 50m),Normal (50 to 150m),South; SouthEast,South,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,,,Empty,Empty,1,1,1,1,1,1,1,1,1,1,1,1,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,,,,,,,,,,,,,,,,,,,6.0,3.0,2.0,3.0,1.0,2.0
http://www.wannasurf.com/spot/Africa/Ghana/index.html,Pram_Pram,Africa,Ghana,,,,5.701733333,0.105783333,Take a car,Instant access (&amp;lt; 5min),OK,Public access,,Normal,Experienced surfers,Regular,Reef-rocky,Right and left,Flat rocks with sand,Ordinary,Short (&amp;lt; 50m),Normal (50 to 150m),SouthWest; South,North; NorthWest; NorthEast,Starts working at 1.5m-2m /5ft-6ft and holds up to Don't know,Mid and high tide,Rising and falling tides,Empty,Empty,1,1,1,1,1,1,1,1,1,1,1,1,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,,,,,,,,,,,,,,,,,,,5.0,3.0,3.0,3.0,1.0,2.0
http://www.wannasurf.com/spot/Africa/Ghana/index.html,Turtle_Beach,Africa,Ghana,,,,4.850766667,-2.23375,Take a car,Instant access (&amp;lt; 5min),Easy to find,Private access,Don't know,Normal,All surfers,Regular,Beach-break,Right and left,Sandy with rock,,Short (&amp;lt; 50m),Normal (50 to 150m),,,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,All tides,,Empty,Empty,1,1,1,1,1,1,1,1,1,1,1,1,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,,,,,,,,,,,,,,,,,,,5.0,3.0,2.0,3.0,1.0,2.0
http://www.wannasurf.com/spot/Africa/Ivory_Coast/index.html,assinie,Africa,Ivory_Coast,,,,5.12565,-3.290833333,Day trip,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Sometimes break,Sand-bar,Right and left,Sandy,Fun,Short (&amp;lt; 50m),Short (&amp;lt; 50m),,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,,,Empty,Crowded,1,1,2,1,1,1,1,1,2,2,1,1,Calzones de surf,Calzones de surf,Calzones de surf,Calzones de surf,Calzones,Calzones de surf,81,82,79,77,75,79,86,86,81,79,77,81,,,,,,,4.0,3.0,2.0,2.0,1.0,1.0
http://www.wannasurf.com/spot/Africa/Kenya/index.html,malindi_bay,Africa,Kenya,,,,-3.19785,40.1255,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,Sloppy,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Fun,Short (&amp;lt; 50m),Normal (50 to 150m),SouthEast; East,West,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,All tides,Falling tide,Empty,Few surfers,1,2,2,2,2,1,2,4,4,3,3,2,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,,,,,,,,,,,,,,,,,,,6.0,2.0,2.0,4.0,1.0,2.0
http://www.wannasurf.com/spot/Africa/Kenya/index.html,mombasa_channel,Africa,Kenya,,,,-4.363933333,39.56383333,Take a car,Short walk (5-15 mn),Easy to find,Public access,Don't know,Normal,Experienced surfers,Sometimes break,Reef-coral,Right and left,Reef (coral; sharp rocks etc..),Hollow; Ordinary; Fun,Normal (50 to 150m),Long (150 to 300 m),SouthEast; East; NorthEast,NorthWest; West; SouthWest,Starts working at 2m-2.5m / 6ft-8ft and holds up to 3m+ / 10ft+,Low and mid tide,Rising and falling tides,Empty,Empty,1,2,2,2,2,1,2,4,4,3,3,2,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,,,,,,,,,,,,,,,,,,,5.0,3.0,3.0,2.0,2.0,3.0
http://www.wannasurf.com/spot/Africa/Kenya/index.html,Watamu_Bay,Africa,Kenya,,,,-3.352266667,40.02688333,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Paddle &gt; 20mn or Boat,Regional Classic,Experienced surfers,Rarely break (5day/year),Reef-coral,Right and left,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful,Short (&amp;lt; 50m),Normal (50 to 150m),Don't know,Don't know,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,Mid and high tide,Rising and falling tides,Empty,Empty,1,2,2,2,2,1,2,4,4,3,3,2,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,,,,,,,,,,,,,,,,,,,6.0,4.0,3.0,1.0,1.0,2.0
http://www.wannasurf.com/spot/Africa/Liberia/index.html,Barn_s_Beach,Africa,Liberia,,,,6.2322,-10.68215,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,Regional Classic,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Powerful,Short (&amp;lt; 50m),Short (&amp;lt; 50m),NorthEast,SouthWest,Starts working at 1.5m-2m /5ft-6ft and holds up to 3m+ / 10ft+,Low and mid tide,Rising and falling tides,Empty,Few surfers,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,2.0,4.0,1.0,1.0
http://www.wannasurf.com/spot/Africa/Liberia/index.html,mumba_point,Africa,Liberia,,,,6.32255,-10.8151,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Regular,Point-break,Left,Sandy with rock,Fun,Short (&amp;lt; 50m),Normal (50 to 150m),,,Starts working at  and holds up to ,All tides,,Empty,Empty,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,2.0,3.0,1.0,2.0
http://www.wannasurf.com/spot/Africa/Liberia/index.html,robertsport,Africa,Liberia,,,,6.739833333,-11.38411667,Week-end trip,Short walk (5-15 mn),OK,Public access,4x4,Regional Classic,Experienced surfers,Very consistent (150 day/year),Reef-rocky,Left,Flat rocks with sand,Ledgey,Normal (50 to 150m),Long (150 to 300 m),NorthWest; West; SouthWest,,Starts working at 1.5m-2m /5ft-6ft and holds up to 4m+ / 12ft,All tides,Falling tide,Empty,Empty,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,3.0,4.0,2.0,3.0
http://www.wannasurf.com/spot/Africa/Liberia/index.html,Tico_s_Point,Africa,Liberia,,,,5.839733333,-10.02691667,Take a car,Don't know,OK,Public access,Don't know,Regional Classic,All surfers,Sometimes break,Beach-break,Right and left,Sandy,Hollow; Fast; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),Don't know,Don't know,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Mid tide,Rising and falling tides,Empty,Empty,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,2.0,2.0,1.0,2.0
http://www.wannasurf.com/spot/Africa/Madagascar/index.html,ambila_lamentsa,Africa,Madagascar,,,,-18.85928333,49.14968333,Sell the house; wife and kids,Long walk (&gt;30 mn),Hard to find,Public access,4x4,Regional Classic,All surfers,Regular,Sand-bar,Right and left,Sandy,Hollow; Fast; Powerful,Normal (50 to 150m),Long (150 to 300 m),East,West,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 5m / 16 ft and over,All tides,Rising tide,Empty,Empty,1,1,2,2,1,1,2,2,3,4,4,1,Boardshorts,Shorty,Shorty,Shorty,Shorty,Boardshorts,79,77,75,72,73,77,77,77,75,75,77,77,,,,,,,1.0,4.0,2.0,3.0,2.0,3.0
http://www.wannasurf.com/spot/Africa/Madagascar/index.html,corre,Africa,Madagascar,,,,-18.86123333,49.1488,Surf trip,Instant access (&amp;lt; 5min),Hard to find,Public access,Don't know,Normal,All surfers,Regular,Sand-bar,Left,Sandy,Hollow; Powerful; Fun,Normal (50 to 150m),Long (150 to 300 m),East,West,Starts working at  and holds up to ,,,Empty,Empty,1,1,2,2,1,1,2,2,3,4,4,1,Boardshorts,Shorty,Shorty,Shorty,Shorty,Boardshorts,79,77,75,72,73,77,77,77,75,75,77,77,,,,,,,2.0,3.0,2.0,3.0,2.0,3.0
http://www.wannasurf.com/spot/Africa/Madagascar/index.html,ifaty,Africa,Madagascar,,,,-23.11538333,43.52585,Day trip,,OK,Public access,By boat only,Regional Classic,Experienced surfers,Very consistent (150 day/year),Reef-coral,Right and left,Reef (coral; sharp rocks etc..),Hollow; Fast,Long (150 to 300 m),Long (150 to 300 m),West; SouthWest; South,SouthWest; NorthEast; Don't know,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to Don't know,Don't know,Don't know,Empty,Empty,1,1,2,2,1,1,2,2,3,4,4,1,Boardshorts,Shorty,Shorty,Shorty,Shorty,Boardshorts,79,77,75,72,73,77,77,77,75,75,77,77,,,,,,,4.0,4.0,3.0,4.0,3.0,3.0
http://www.wannasurf.com/spot/Africa/Madagascar/index.html,lavanono,Africa,Madagascar,,,,-25.42476667,44.93851667,Take a car,Instant access (&amp;lt; 5min),Hard to find,Public access,4x4,Regional Classic,All surfers,Regular,Reef-coral,Left,Reef (coral; sharp rocks etc..),Fun,Short (&amp;lt; 50m),Long (150 to 300 m),SouthWest; South; SouthEast,North; NorthWest; West; East; NorthEast,Starts working at Less than 1m / 3ft and holds up to 5m / 16 ft and over,Low and mid tide,,Empty,Empty,1,1,2,2,1,1,2,2,3,4,4,1,Boardshorts,Shorty,Shorty,Shorty,Shorty,Boardshorts,79,77,75,72,73,77,77,77,75,75,77,77,,,,,,,5.0,4.0,2.0,3.0,1.0,3.0
http://www.wannasurf.com/spot/Africa/Madagascar/index.html,Mahambo,Africa,Madagascar,,,,-17.47888333,49.47301667,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Paddle &gt; 20mn or Boat,Regional Classic,Experienced surfers,Very consistent (150 day/year),Reef-rocky,Right,Reef (coral; sharp rocks etc..),Hollow; Fast; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),,NorthEast,Starts working at Less than 1m / 3ft and holds up to ,All tides,Don't know,Empty,Empty,1,1,2,2,1,1,2,2,3,4,4,1,Boardshorts,Shorty,Shorty,Shorty,Shorty,Boardshorts,79,77,75,72,73,77,77,77,75,75,77,77,,,,,,,5.0,4.0,3.0,4.0,1.0,2.0
http://www.wannasurf.com/spot/Africa/Madagascar/index.html,monseigneur,Africa,Madagascar,,,,-25.02495,47.00568333,In the city,Short walk (5-15 mn),Easy to find,Public access,Don't know,Regional Classic,Experienced surfers,Regular,Reef-rocky,Right,Flat rocks,Fun,Normal (50 to 150m),Normal (50 to 150m),SouthWest; South; SouthEast; East,South; SouthEast,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,,,Empty,Empty,1,1,2,2,1,1,2,2,3,4,4,1,Boardshorts,Shorty,Shorty,Shorty,Shorty,Boardshorts,79,77,75,72,73,77,77,77,75,75,77,77,,,,,,,6.0,4.0,3.0,3.0,2.0,2.0
http://www.wannasurf.com/spot/Africa/Madagascar/index.html,vinanibe_lake,Africa,Madagascar,,,,-25.05325,46.99951667,Take a car,Short walk (5-15 mn),OK,Public access,Don't know,Regional Classic,All surfers,Regular,Sand-bar,Right and left,Sandy,Fast; Powerful; Fun,Normal (50 to 150m),Long (150 to 300 m),South; SouthEast; East,North; NorthWest,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,All tides,Rising and falling tides,Empty,Empty,1,1,2,2,1,1,2,2,3,4,4,1,Boardshorts,Shorty,Shorty,Shorty,Shorty,Boardshorts,79,77,75,72,73,77,77,77,75,75,77,77,,,,,,,5.0,4.0,2.0,3.0,2.0,3.0
http://www.wannasurf.com/spot/Africa/Mauritius/index.html,black_rocks,Africa,Mauritius,,,,-20.31838333,57.36751667,Take a car,Short walk (5-15 mn),OK,Public access,Don't know,World Class,Experienced surfers,Regular,Reef-rocky,Right,Reef (coral; sharp rocks etc..),Hollow; Powerful; Ledgey,Normal (50 to 150m),Long (150 to 300 m),,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 4m+ / 12ft,Mid and high tide,,Empty,Few surfers,1,2,2,2,2,1,2,2,3,4,3,2,Boardshorts,Boardshorts,Shorty,Shorty,Shorty,Shorty,81,79,73,72,73,77,79,77,73,73,77,79,,,,,,,5.0,5.0,3.0,3.0,2.0,3.0
http://www.wannasurf.com/spot/Africa/Mauritius/index.html,fausse_passe,Africa,Mauritius,,,,-20.4466,57.72315,Day trip,Short walk (5-15 mn),OK,Public access,Paddle &gt; 20mn or Boat,Regional Classic,All surfers,Regular,Reef-coral,Right and left,Reef (coral;sharp rocks etc..) with sand,Powerful; Fun; Slab,Normal (50 to 150m),Normal (50 to 150m),West,SouthWest,Starts working at 2.5m-3m / 8ft-10ft and holds up to 4m+ / 12ft,High tide only,Rising tide,Empty,Few surfers,1,2,2,2,2,1,2,2,3,4,3,2,Boardshorts,Boardshorts,Shorty,Shorty,Shorty,Shorty,81,79,73,72,73,77,79,77,73,73,77,79,,,,,,,4.0,4.0,2.0,3.0,2.0,2.0
http://www.wannasurf.com/spot/Africa/Mauritius/index.html,grand_sancho,Africa,Mauritius,,,,-20.50711667,57.44935,Take a car,Short walk (5-15 mn),Easy to find,Public access,4x4,Regional Classic,Experienced surfers,Regular,Reef-coral,Right and left,Reef (coral; sharp rocks etc..),Hollow; Powerful; Fun; Powerless,Short (&amp;lt; 50m),Normal (50 to 150m),SouthWest; South; SouthEast,North; NorthWest; NorthEast,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,All tides,Rising and falling tides,Empty,Few surfers,1,2,2,2,2,1,2,2,3,4,3,2,Boardshorts,Boardshorts,Shorty,Shorty,Shorty,Shorty,81,79,73,72,73,77,79,77,73,73,77,79,,,,,,,5.0,4.0,3.0,3.0,1.0,2.0
http://www.wannasurf.com/spot/Africa/Mauritius/index.html,La_Baie,Africa,Mauritius,,,,-20.32566667,57.37751667,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,,Normal,All surfers,Regular,Beach-break,Right and left,Sandy with rock,Ordinary; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),NorthWest; West; SouthWest,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,All tides,Rising and falling tides,Few surfers,Crowded,1,2,2,2,2,1,2,2,3,4,3,2,Boardshorts,Boardshorts,Shorty,Shorty,Shorty,Shorty,81,79,73,72,73,77,79,77,73,73,77,79,,,,,,,6.0,3.0,2.0,3.0,1.0,2.0
