Spot,Country,Zone,Subzone,Subsubzone,Latitude,Longitude,Distance,Walk,Easy to find?,Public access?,Special access,Wave quality,Experience,Frequency,Type,Direction,Bottom,Power,Normal length,Good day length,Good swell direction,Good wind direction,Swell size,Best tide position,Best tide movement,Week crowd,Week-end crowd,
Caga_Spot,Cape_Verde,,,,,,Day trip,,,Public access,,Totally Epic,Pros or kamikaze only...,Sometimes break,Reef-rocky,,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful; Ledgey,Short (&amp;lt; 50m),Short (&amp;lt; 50m),SouthWest; South,North,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,Mid and high tide,Don't know,Empty,Empty,
Coca_s_Beach_Praia,Cape_Verde,,,,14.9166833333,-23.5061333333,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Sometimes break,Point-break,Left,Flat rocks with sand,Fun,Normal (50 to 150m),Long (150 to 300 m),SouthWest; South,North; NorthEast,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Mid tide,Rising and falling tides,Empty,Few surfers,
Coragi,Cape_Verde,,,,14.9025166667,-23.5226666667,In the city,Short walk (5-15 mn),Easy to find,Public access,Don't know,Normal,Experienced surfers,Very consistent (150 day/year),Reef-rocky,Left,Reef (coral; sharp rocks etc..),Powerful,,,SouthWest; South; SouthEast,Don't know,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,,,Few surfers,Few surfers,
ervatao,Cape_Verde,,,,,,Day trip,Instant access (&amp;lt; 5min),Hard to find,Public access,4x4,Normal,Experienced surfers,Don't know,Reef-rocky,Left,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful,Normal (50 to 150m),Long (150 to 300 m),,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 5m / 16 ft and over,All tides,,Empty,Empty,
ilha_do_sal,Cape_Verde,,,,,,Take a car,Instant access (&amp;lt; 5min),OK,Public access,4x4,Normal,All surfers,Don't know,Point-break,Right,Sandy with rock,Fast; Powerful,Short (&amp;lt; 50m),Normal (50 to 150m),North,North,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Mid tide,Rising and falling tides,Few surfers,Few surfers,
laginha,Cape_Verde,,,,,,In the city,Instant access (&amp;lt; 5min),,,Don't know,Normal,All surfers,Rarely break (5day/year),Reef-rocky,Right and left,Sandy with rock,Fast,Short (&amp;lt; 50m),Normal (50 to 150m),,,Starts working at  and holds up to ,Low and mid tide,,Crowded,Ultra crowded,
Meio_de_Baia,Cape_Verde,,,,,,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Paddle &gt; 20mn or Boat,World Class,Experienced surfers,Sometimes break,Reef-rocky,Right and left,Reef (coral; sharp rocks etc..),Hollow; Powerful,Long (150 to 300 m),Long (150 to 300 m),,,Starts working at 1.5m-2m /5ft-6ft and holds up to 5m / 16 ft and over,All tides,Falling tide,Empty,Empty,
Palmeira_-_ilha_do_sal,Cape_Verde,,,,16.7521166667,-22.9791,Take a car,Instant access (&amp;lt; 5min),OK,Private access,4x4,World Class,Pros or kamikaze only...,Regular,Reef-rocky,Left,Reef (coral; sharp rocks etc..),Powerful,Normal (50 to 150m),Long (150 to 300 m),North; NorthWest,,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,All tides,,Few surfers,Crowded,
ponta_preda,Cape_Verde,,,,16.6125,-22.9325833333,Surf trip,Long walk (&gt;30 mn),Hard to find,,4x4,World Class,Pros or kamikaze only...,Regular,Point-break,Right,Sandy with rock,Ledgey,Long (150 to 300 m),Very Long (300 to 500 m),North; NorthWest,South; SouthEast,Starts working at 1.5m-2m /5ft-6ft and holds up to 4m+ / 12ft,,,Few surfers,Few surfers,
Praia_do_Chaves,Cape_Verde,,,,16.1419,-22.9071,Don't know,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Sometimes break,Sand-bar,Right and left,Sandy,Powerful,Normal (50 to 150m),Normal (50 to 150m),Don't know,SouthWest,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,Mid tide,Don't know,Few surfers,Few surfers,
Praia_Negra,Cape_Verde,,,,14.91595,-23.5054,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,All surfers,Regular,Point-break,Left,Flat rocks,Fun,Normal (50 to 150m),Normal (50 to 150m),South,NorthEast,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,All tides,Rising tide,Empty,Crowded,
rincon,Cape_Verde,,,,,,Take a car,Long walk (&gt;30 mn),Easy to find,Public access,4x4,Normal,Pros or kamikaze only...,Don't know,Reef-rocky,Right and left,Flat rocks,Hollow; Powerful,Normal (50 to 150m),Long (150 to 300 m),North; NorthWest,NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 5m / 16 ft and over,All tides,Rising tide,Empty,Empty,
Sandy_Beach_-_Sao_Vincente,Cape_Verde,,,,16.8633666667,-24.87905,Day trip,Instant access (&amp;lt; 5min),Hard to find,Public access,4x4,World Class,All surfers,Very consistent (150 day/year),Point-break,Right,Sandy with rock,Hollow; Fast; Fun,Normal (50 to 150m),,South,North,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,All tides,,,,
santa_maria,Cape_Verde,,,,,,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Don't know,Reef-rocky,Left,Flat rocks with sand,Fun,Normal (50 to 150m),Long (150 to 300 m),,,Starts working at  and holds up to ,High tide only,Rising and falling tides,Few surfers,Crowded,
Santa_Monica__Boa_Vista,Cape_Verde,,,,15.9936666667,-22.8948166667,Take a car,Long walk (&gt;30 mn),OK,Public access,4x4,Regional Classic,Experienced surfers,Regular,Beach-break,Right,Sandy with rock,Hollow; Fast,Short (&amp;lt; 50m),Short (&amp;lt; 50m),North; NorthWest; West; SouthWest; South; SouthEast,North; NorthWest; West; East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to Don't know,All tides,,Empty,Empty,
cote_sauvage,Congo,,,,-4.8132,11.8432666667,Sell the house; wife and kids,Long walk (&gt;30 mn),Hard to find,Private access,4x4,Normal,All surfers,Regular,Sand-bar,Left,Sandy with rock,Fast,Normal (50 to 150m),Normal (50 to 150m),,,Starts working at  and holds up to ,,,,,
Djeno_Rocher___Ibanga_for_the_locals_,Congo,,,,,,Take a car,,OK,Public access,4x4,Totally Epic,Pros or kamikaze only...,Sometimes break,Reef-rocky,Left,Reef (coral;sharp rocks etc..) with sand,Hollow; Fast; Powerful; Ledgey; Slab,Normal (50 to 150m),Long (150 to 300 m),SouthWest,East,Starts working at 1.5m-2m /5ft-6ft and holds up to 2m+ / 6ft+,Mid tide,Rising tide,Empty,Empty,
le_piege,Congo,,,,-4.77333333333,11.8252333333,Take a car,Instant access (&amp;lt; 5min),Hard to find,Private access,Don't know,Normal,,Regular,Point-break,Left,Sandy,Fun,Short (&amp;lt; 50m),Short (&amp;lt; 50m),West; SouthWest,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to ,Low and mid tide,,Empty,Few surfers,
mvassa,Congo,,,,,,Day trip,,OK,Public access,4x4,Regional Classic,All surfers,Regular,Reef-rocky,Right and left,,Fun,Long (150 to 300 m),Normal (50 to 150m),,,Starts working at  and holds up to ,,,Few surfers,Few surfers,
Agami,Egypt,,,,31.1279,29.7733,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Powerful,Normal (50 to 150m),Long (150 to 300 m),,North; NorthWest; West,Starts working at Less than 1m / 3ft and holds up to 4m+ / 12ft,All tides,Rising and falling tides,Empty,Crowded,
Arabia_Beach,Egypt,,,,,,In the city,Instant access (&amp;lt; 5min),Easy to find,Private access,Don't know,Regional Classic,All surfers,Sometimes break,Reef-coral,Right and left,Reef (coral; sharp rocks etc..),,Short (&amp;lt; 50m),Short (&amp;lt; 50m),,,Starts working at 2m-2.5m / 6ft-8ft and holds up to 2m+ / 6ft+,Mid and high tide,Rising tide,Empty,Empty,
El_Corniche,Egypt,,,,31.2619666667,29.9814333333,In the city,Instant access (&amp;lt; 5min),Easy to find,Private access,Don't know,Sloppy,All surfers,Sometimes break,Beach-break,Right and left,Sandy with rock,,Short (&amp;lt; 50m),Short (&amp;lt; 50m),,,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,All tides,,Empty,Empty,
Mandara,Egypt,,,,31.2802333333,30.0087,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,All surfers,Regular,Beach-break,Right and left,Sandy,Fast; Powerful,Short (&amp;lt; 50m),Normal (50 to 150m),North; NorthWest; NorthEast,North; NorthWest; West; NorthEast,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,,Rising and falling tides,Empty,Empty,
Marsa_Alaam,Egypt,,,,25.1081333333,34.8822,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Paddle &gt; 20mn or Boat,Sloppy,All surfers,Sometimes break,Reef-coral,Right and left,Reef (coral; sharp rocks etc..),,Short (&amp;lt; 50m),Short (&amp;lt; 50m),,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,High tide only,,Empty,Empty,
Ramadas,Egypt,,,,31.24905,29.96805,Take a car,Short walk (5-15 mn),Easy to find,Public access,Don't know,Normal,All surfers,Regular,Beach-break,Right and left,Sandy with rock,Fun; Powerless,Short (&amp;lt; 50m),Short (&amp;lt; 50m),NorthWest,North; NorthWest; NorthEast,Starts working at Less than 1m / 3ft and holds up to 1m+ / 3ft+,All tides,Rising and falling tides,Empty,Empty,
Rowad_Resort__North_coast,Egypt,,,,30.8733166667,29.3277666667,Take a car,Don't know,Easy to find,Private access,Don't know,Sloppy,All surfers,Sometimes break,Beach-break,Right and left,Sandy,,Short (&amp;lt; 50m),Short (&amp;lt; 50m),,,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,All tides,,Empty,Empty,
Shatby,Egypt,,,,31.21215,29.9153833333,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Regular,Beach-break,Right and left,Sandy with rock,Powerful; Fun,Normal (50 to 150m),Normal (50 to 150m),North; NorthWest,North; NorthWest,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,All tides,Rising and falling tides,Empty,Empty,
cap_lopez,Gabon,,,,,,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Totally Epic,Experienced surfers,Don't know,,,Sandy,Hollow,Short (&amp;lt; 50m),Normal (50 to 150m),SouthWest,South,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,All tides,Rising tide,Empty,Few surfers,
ekwata,Gabon,,,,,,,Long walk (&gt;30 mn),Easy to find,Public access,By boat only,Normal,Experienced surfers,Sometimes break,Reef-rocky,Left,Flat rocks with sand,Hollow; Fun,Normal (50 to 150m),Very Long (300 to 500 m),SouthWest,SouthWest,Starts working at  and holds up to ,,,Empty,Empty,
gomb,Gabon,,,,0.323916666667,9.31125,Day trip,Good walk (15-30 mn),OK,Public access,By boat only,Regional Classic,Experienced surfers,Regular,Point-break,Left,Sandy with rock,Powerless,Very Long (300 to 500 m),Exceptional (&gt;500m),SouthWest,Don't know,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Low and mid tide,Rising tide,Few surfers,Few surfers,
guegue,Gabon,,,,0.435966666667,9.41658333333,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,Normal,All surfers,Sometimes break,Beach-break,Right and left,Sandy,Powerful; Powerless,Short (&amp;lt; 50m),Normal (50 to 150m),NorthWest; West; SouthWest,SouthEast; East,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,,,Empty,Empty,
la_ferme,Gabon,,,,,,Day trip,Good walk (15-30 mn),Hard to find,Private access,4x4,Sloppy,All surfers,Don't know,Reef-rocky,Right and left,Sandy with rock,Hollow; Ordinary,Short (&amp;lt; 50m),Short (&amp;lt; 50m),SouthWest,,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,Low and mid tide,Rising tide,Empty,Empty,
palplanche,Gabon,,,,,,Take a car,Short walk (5-15 mn),OK,Public access,4x4,Regional Classic,All surfers,Sometimes break,Beach-break,Left,Sandy,Hollow; Fast; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),SouthWest,NorthEast,Starts working at 2.5m-3m / 8ft-10ft and holds up to 5m / 16 ft and over,Low tide only,Rising and falling tides,Empty,Crowded,
pg2,Gabon,,,,,,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,Regional Classic,Experienced surfers,Regular,,Right and left,Sandy,Fast; Powerful,Normal (50 to 150m),Long (150 to 300 m),SouthWest,SouthEast; East,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 5m / 16 ft and over,Mid tide,,Empty,Few surfers,
Kololi_Kotu___Kombo,Gambia,,,,13.4163333333,-16.7472833333,Take a car,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Sloppy,Experienced surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Fast; Powerful,Short (&amp;lt; 50m),Normal (50 to 150m),,,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Don't know,Rising tide,Few surfers,Empty,
secret_bay_,Gambia,,,,13.1448333333,-16.7766666667,Surf trip,Short walk (5-15 mn),OK,Public access,,Normal,All surfers,Very consistent (150 day/year),Reef-rocky,Right and left,Boulders,Fun,Short (&amp;lt; 50m),Normal (50 to 150m),NorthWest; West; SouthWest; South,Don't know,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Mid and high tide,Rising and falling tides,Empty,Empty,
Senegambia_Beach,Gambia,,,,13.4451,-16.72555,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,Experienced surfers,Regular,Beach-break,Left,Sandy,Hollow; Fast,Short (&amp;lt; 50m),Normal (50 to 150m),North; South; SouthEast; NorthEast,East,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to Don't know,All tides,Rising tide,Empty,Empty,
axim,Ghana,,,,4.85815,-2.2458,Don't know,Don't know,Don't know,Don't know,Don't know,Regional Classic,Experienced surfers,Sometimes break,Point-break,Right and left,Reef (coral; sharp rocks etc..),,,,SouthWest; South,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,,,Empty,Empty,
busua_beach_island,Ghana,,,,4.8067,-1.92793333333,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Paddle &gt; 20mn or Boat,Regional Classic,All surfers,Regular,Beach-break,Right and left,Sandy,,Short (&amp;lt; 50m),Short (&amp;lt; 50m),,,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Empty,
cape_coast,Ghana,,,,,,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Sloppy,All surfers,Don't know,Beach-break,,,Powerful,Short (&amp;lt; 50m),Normal (50 to 150m),,South,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Low tide only,,Empty,Empty,
Cape_Three_Points,Ghana,,,,,,Surf trip,Instant access (&amp;lt; 5min),Easy to find,Public access,,World Class,All surfers,Regular,Point-break,Left,Flat rocks with sand,Powerful,Normal (50 to 150m),Long (150 to 300 m),Don't know,SouthWest,Starts working at 1.5m-2m /5ft-6ft and holds up to 2.5m+ / 8ft+,All tides,,Empty,Few surfers,
dixcove,Ghana,,,,,,Week-end trip,Short walk (5-15 mn),Easy to find,Public access,Don't know,Normal,All surfers,Regular,Point-break,Right,Sandy with rock,Powerful; Ordinary,Short (&amp;lt; 50m),Normal (50 to 150m),SouthWest,North; NorthEast,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Mid and high tide,Rising and falling tides,Empty,Empty,
fete,Ghana,,,,,,Take a car,Short walk (5-15 mn),Easy to find,Public access,Don't know,Regional Classic,All surfers,Regular,Point-break,Right,Sandy with rock,,Short (&amp;lt; 50m),Long (150 to 300 m),,,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,Low and mid tide,Rising and falling tides,Empty,Empty,
Katakor,Ghana,,,,4.75085,-2.04568333333,Take a car,Don't know,Hard to find,Public access,Don't know,Regional Classic,Experienced surfers,Regular,Reef-rocky,Right and left,Reef (coral; sharp rocks etc..),Ordinary,Normal (50 to 150m),Long (150 to 300 m),West; SouthWest; South,North; NorthWest; East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to Don't know,Mid and high tide,Rising tide,Empty,Empty,
krokrobite,Ghana,,,,5.49758333333,-0.35775,Day trip,Instant access (&amp;lt; 5min),OK,Public access,4x4,Normal,,Regular,Beach-break,Right,Sandy with rock,Powerless,Long (150 to 300 m),Long (150 to 300 m),SouthWest; South,North; NorthWest; East; NorthEast,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Mid and high tide,Rising tide,Empty,Few surfers,
labadi_beach,Ghana,,,,5.53125,-0.214583333333,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Regular,Beach-break,Right and left,Sandy,Ordinary; Ledgey,Short (&amp;lt; 50m),Normal (50 to 150m),South; SouthEast,South,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,,,Empty,Empty,
mia_mia,Ghana,,,,,,Take a car,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Normal,All surfers,Regular,Beach-break,Right and left,Sandy with rock,Ordinary,Normal (50 to 150m),Long (150 to 300 m),,,Starts working at  and holds up to ,Low and mid tide,Rising and falling tides,Empty,Empty,
mumford,Ghana,,,,,,Take a car,Short walk (5-15 mn),Hard to find,,Don't know,Normal,All surfers,Regular,Point-break,Right,Sandy with rock,Powerless,Short (&amp;lt; 50m),Normal (50 to 150m),SouthWest; South,North,Starts working at  and holds up to ,Low and mid tide,,Empty,Few surfers,
new_ningo,Ghana,,,,,,Take a car,Short walk (5-15 mn),OK,Public access,Don't know,Regional Classic,Experienced surfers,Sometimes break,Reef-rocky,Right,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful,Normal (50 to 150m),Very Long (300 to 500 m),West; SouthWest; South; SouthEast,West; SouthWest; South; SouthEast,Starts working at 1.5m-2m /5ft-6ft and holds up to 4m+ / 12ft,All tides,Rising and falling tides,Empty,Empty,
Pram_Pram,Ghana,,,,5.70173333333,0.105783333333,Take a car,Instant access (&amp;lt; 5min),OK,Public access,,Normal,Experienced surfers,Regular,Reef-rocky,Right and left,Flat rocks with sand,Ordinary,Short (&amp;lt; 50m),Normal (50 to 150m),SouthWest; South,North; NorthWest; NorthEast,Starts working at 1.5m-2m /5ft-6ft and holds up to Don't know,Mid and high tide,Rising and falling tides,Empty,Empty,
stilt_village,Ghana,,,,,,Take a car,,Easy to find,Public access,Don't know,Normal,,Regular,,,Sandy,Powerless,,,SouthWest; South,,Starts working at  and holds up to ,,,Empty,Empty,
Turtle_Beach,Ghana,,,,4.85076666667,-2.23375,Take a car,Instant access (&amp;lt; 5min),Easy to find,Private access,Don't know,Normal,All surfers,Regular,Beach-break,Right and left,Sandy with rock,,Short (&amp;lt; 50m),Normal (50 to 150m),,,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,All tides,,Empty,Empty,
assinie,Ivory_Coast,,,,5.12565,-3.29083333333,Day trip,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Sometimes break,Sand-bar,Right and left,Sandy,Fun,Short (&amp;lt; 50m),Short (&amp;lt; 50m),,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,,,Empty,Crowded,
baie_des_sirenes,Ivory_Coast,,,,,,,,,,Don't know,,,Don't know,Reef-coral,Right,Reef (coral;sharp rocks etc..) with sand,Fun,Long (150 to 300 m),Long (150 to 300 m),,,Starts working at  and holds up to ,,,,,
bassam,Ivory_Coast,,,,,,Take a car,Instant access (&amp;lt; 5min),Easy to find,,Don't know,Regional Classic,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Powerful; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),SouthWest; South; SouthEast,North; NorthWest; NorthEast,Starts working at  and holds up to ,,,,,
